STATE,2021,2020,2019,2018,2017
Alabama,1085098005,1031937996,1040247151,1009243428,956105024
Alaska,142717649,134820264,134554222,127961940,121338394
Arizona,1261420274,1174512299,1177489291,1137139213,1031704203
Arkansas,584479351,550673093,541436760,537508138,516855282
California,10502037309,10074694178,9883938818,9513812084,8748376283
Colorado,1087714066,1033378598,1033635520,1008194593,972361583
Connecticut,789767421,735104216,763826505,751446387,717351374
Delaware,209469572,197037527,196154998,189808304,180024825
District of Columbia,119274519,113459455,111434352,109413183,102230664
Florida,4256469155,3877273509,4085020926,4063828992,3805926890
Georgia,2382782733,2272114617,2243286800,2136907163,1971561868
Hawaii,263409140,248147119,250512291,237711658,223442390
Idaho,279881905,248900956,237168498,221581848,198983387
Illinois,2331751825,2224717037,2246766083,2196279556,2114210151
Indiana,1133664388,1086637553,1082941430,1060157549,1005160229
lowa,496348308,469959720,465858234,462230600,436188697
Kansas,460215705,440125684,447879261,444294630,424039958
Kentucky,681653952,655856567,685941253,683746224,648168748
Louisiana,1003956035,974709812,1022569458,1019067341,988714477
Maine,240523766,230323638,227898860,218164104,206281636
Maryland,1480875817,1442944464,1470120010,1426738802,1306916172
Massachusetts,1763405025,1740596123,1729981783,1677150517,1601678947
Michigan,2178418746,2092358996,2142785290,2111250825,1994086058
Minnesota,932154828,884935522,884769528,843362062,799371691
Mississippi,551991068,515540715,503205362,509158753,494107354
Missouri,1049791747,992555283,997986843,972423567,939416344
Montana,182277251,162505578,155002247,150513838,141650589
Nebraska,323012625,299916584,295799235,290401875,274160173
Nevada,585468211,545876675,565166218,537367555,462838325
New Hampshire,300396498,289437827,295603991,284213551,272006992
New Jersey,1945459414,1765644853,1853734587,1793442724,1683337826
New Mexico,321180003,307213707,303828872,294144207,280521110
New York,3654701036,3414745574,3473130264,3362461171,3178527547
North Carolina,1972411478,1796669997,1790932124,1678414988,1572018308
North Dakota,141845342,128130671,127588386,123482445,117766097
Ohio,2032252606,1979966032,2017104232,1978959744,1911664108
Oklahoma,660480004,625812835,622783078,624504377,579804430
Oregon,637903030,605732180,619576172,605146466,555784441
Pennsylvania,2679383750,2587201867,2650031202,2607414510,2496034686
Rhode Island,260894270,255255977,252757408,241688747,227608476
South Carolina,986887755,921261794,910499519,886479216,830835599
South Dakota,128058492,117943800,116272936,112640303,105772264
Tennessee,1368332374,1269429994,1262598721,1239079490,1175788545
Texas,6012424200,5728258870,5919326489,5847439476,5589650868
Utah,529756757,484926655,480542581,460464481,416012137
Vermont,125300218,123090060,124316113,120771463,115842506
Virginia,1692657466,1615849454,1616542812,1569835884,1495960195
Washington,1278428555,1200188811,1222701425,1152066513,1062876031
West Virginia,331440243,321018503,324388260,319253561,310418604
Wisconsin,861915699,820832274,831569291,804745844,777216881
Wyoming,92334787,88007948,87067830,86817263,83209836
Countrywide,66374474373,62898233461,63526273520,61840331153,58221909203\